stream_name,WS-default
daq_type,EEG
units,microvolts
reference,A1A2
sample_rate,300.0
Timestamp,Pz,F4,C4,P4,P3,C3,F3,TRG,lsl_timestamp
74,-9862.8671875,-9143.6220703125,-9914.54296875,-8397.4892578125,-8466.3779296875,-8221.1123046875,-6418.970703125,0.0,19625.3792236
75,-8539.0693359375,-7285.2705078125,-8359.10546875,-6588.94287109375,-10036.4658203125,-7683.45556640625,-2238.409423828125,0.0,19625.3792243
76,4206.173828125,5480.09375,5215.95166015625,6303.74072265625,2978.16455078125,4255.1953125,5335.4384765625,0.0,19625.3792248
77,9863.16796875,10051.462890625,10507.9111328125,11254.2236328125,11071.95703125,9415.3623046875,4284.0498046875,0.0,19625.3792254
78,4909.61083984375,3855.51904296875,3949.706298828125,4909.31005859375,6715.13623046875,4410.9794921875,-59.27254867553711,0.0,19625.3792259
79,-7977.10205078125,-9891.5849609375,-11211.935546875,-9519.509765625,-10332.513671875,-10187.8623046875,-7455.97216796875,0.0,19625.3792264
80,-8662.177734375,-7664.244140625,-8699.7333984375,-7002.11865234375,-10479.416015625,-8345.49609375,-2629.433837890625,0.0,19625.3792269
81,4616.43701171875,6026.3974609375,5869.87109375,6842.1865234375,3492.33837890625,4362.0087890625,5803.3046875,0.0,19625.3792275
82,9863.16796875,10509.13671875,11064.6259765625,11704.970703125,11778.009765625,9762.1181640625,4593.66748046875,0.0,19625.4094704
83,3788.385986328125,4082.09033203125,4213.20751953125,5233.302734375,7178.40087890625,4661.1416015625,173.47972106933594,0.0,19625.4094715
84,-9862.8671875,-9134.01171875,-9925.3583984375,-8460.376953125,-8412.6201171875,-8355.8447265625,-6393.46923828125,0.0,19625.4094721
85,-8611.6103515625,-7350.904296875,-8330.9990234375,-6715.0439453125,-9862.1435546875,-7743.06494140625,-2217.945068359375,0.0,19625.4094726
86,4665.80078125,6113.0,5790.64697265625,6946.01318359375,3755.22998046875,4777.37646484375,5964.27490234375,0.0,19625.409473
